meta_id,calendario_sk,periodo_operativo_sort,mes_operativo_dt,contrato_sk,equipo_sk,tipo_maquina,meta_metraje_m,proyectado_m
394,20250801,202508,2025-08-01,1,2,MINA,1100.0,0.0
395,20250801,202508,2025-08-01,1,3,MINA,1100.0,0.0
396,20250801,202508,2025-08-01,13,65,MINA,850.0,0.0
397,20250801,202508,2025-08-01,13,64,MINA,850.0,0.0
398,20250801,202508,2025-08-01,8,40,MINA,1050.0,0.0
399,20250801,202508,2025-08-01,8,43,MINA,1050.0,0.0
400,20250801,202508,2025-08-01,8,42,MINA,1050.0,0.0
401,20250801,202508,2025-08-01,8,41,MINA,1050.0,0.0
402,20250801,202508,2025-08-01,8,34,MINA,1050.0,0.0
403,20250801,202508,2025-08-01,11,52,SUPERFICIE,760.0,0.0
404,20250801,202508,2025-08-01,9,44,MINA,1050.0,0.0
405,20250801,202508,2025-08-01,16,74,SUPERFICIE,900.0,0.0
406,20250801,202508,2025-08-01,16,76,MINA,900.0,0.0
407,20250801,202508,2025-08-01,16,75,MINA,1000.0,0.0
408,20250801,202508,2025-08-01,16,77,MINA,1000.0,0.0
409,20250801,202508,2025-08-01,12,54,SUPERFICIE,800.0,0.0
410,20250801,202508,2025-08-01,12,53,SUPERFICIE,800.0,0.0
411,20250801,202508,2025-08-01,12,60,MINA,800.0,0.0
412,20250801,202508,2025-08-01,12,62,MINA,800.0,0.0
413,20250801,202508,2025-08-01,17,82,MINA,850.0,0.0
414,20250801,202508,2025-08-01,17,80,MINA,850.0,0.0
415,20250801,202508,2025-08-01,17,81,MINA,850.0,0.0
416,20250801,202508,2025-08-01,7,31,MINA,900.0,0.0
417,20250801,202508,2025-08-01,7,33,MINA,900.0,0.0
418,20250801,202508,2025-08-01,7,26,MINA,900.0,0.0
419,20250801,202508,2025-08-01,7,25,MINA,900.0,0.0
420,20250801,202508,2025-08-01,2,5,SUPERFICIE,900.0,0.0
421,20250801,202508,2025-08-01,2,8,MINA,900.0,0.0
422,20250801,202508,2025-08-01,2,9,MINA,900.0,0.0
423,20250801,202508,2025-08-01,2,4,SUPERFICIE,900.0,0.0
424,20250801,202508,2025-08-01,10,51,MINA,1600.0,0.0
425,20250801,202508,2025-08-01,10,48,SUPERFICIE,750.0,0.0
426,20250801,202508,2025-08-01,10,45,MINA,900.0,0.0
427,20250801,202508,2025-08-01,14,68,MINA,1150.0,0.0
428,20250801,202508,2025-08-01,14,69,MINA,1150.0,0.0
429,20250801,202508,2025-08-01,14,67,MINA,1150.0,0.0
430,20250801,202508,2025-08-01,15,73,MINA,900.0,0.0
431,20250801,202508,2025-08-01,15,72,MINA,835.0,0.0
432,20250801,202508,2025-08-01,15,71,MINA,900.0,0.0
433,20250801,202508,2025-08-01,15,70,MINA,900.0,0.0
434,20250801,202508,2025-08-01,20,89,MINA,1150.0,0.0
435,20250801,202508,2025-08-01,20,90,MINA,1150.0,0.0
436,20250801,202508,2025-08-01,20,87,MINA,1150.0,0.0
437,20251001,202510,2025-10-01,4,18,MINA,750.0,0.0
438,20251001,202510,2025-10-01,4,19,MINA,750.0,0.0
439,20251001,202510,2025-10-01,4,17,MINA,750.0,0.0
440,20251001,202510,2025-10-01,4,15,MINA,750.0,0.0
441,20251001,202510,2025-10-01,4,21,MINA,750.0,0.0
442,20250901,202509,2025-09-01,1,2,MINA,1100.0,0.0
443,20250901,202509,2025-09-01,1,3,MINA,1100.0,0.0
444,20250901,202509,2025-09-01,13,65,MINA,850.0,0.0
445,20250901,202509,2025-09-01,13,64,MINA,850.0,0.0
446,20250901,202509,2025-09-01,8,40,MINA,1050.0,0.0
447,20250901,202509,2025-09-01,8,43,MINA,1050.0,0.0
448,20250901,202509,2025-09-01,8,42,MINA,1050.0,0.0
449,20250901,202509,2025-09-01,8,41,MINA,1050.0,0.0
450,20250901,202509,2025-09-01,8,34,MINA,1050.0,0.0
